Concelho ADENE,INE,Pordata,
,,Lajes do Pico,
,,Madalena,
,,Nordeste,
,,Ponta Delgada,
,,Povoação,
,,Ribeira Grande,
,,Santa Cruz da Graciosa,
,,Santa Cruz das Flores,
,,São Roque do Pico,
,,Velas,
,,Vila da Praia da Vitória,
,,Vila do Porto,
,,Vila Franca do Campo,
